,accuracy,f1_macro,roc_auc,conf_matrix
Logistic Regression,0.6071097730430755,0.43389656494077844,0.5117915881958262,"[[5010, 237], [3156, 233]]"
Random Forest,0.5632237146827235,0.5204935018794304,0.5232173868494484,"[[3721, 1526], [2246, 1143]]"
XGBoost,0.5973830477072719,0.49390481149540355,0.5243709918573656,"[[4532, 715], [2762, 627]]"
